model,version,n_windows,mean_mae,std_mae,median_mae,mean_rmse,std_rmse,median_rmse,mean_mae_improvement_vs_persistence_pct,mean_rmse_improvement_vs_persistence_pct
Persistence,Baseline,7,4.595698696145125,4.0624563849686615,2.203125,5.90121225215664,4.91213383839198,3.081077649208583,0.0,0.0
TimesFM,2.5,7,3.8102304630899466,2.668518986488554,2.435475869153542,4.6684175832280035,3.4498033023231063,2.992741182767096,17.09137793811482,20.89053259316512
Moirai,2.0,7,3.5747549679814554,2.9927912239041636,2.0551430409547518,4.78231625395471,3.909697832348765,2.911858662076442,22.21520155401045,18.960443217290155
