model,version,checkpoint,forecast_type,context_length,forecast_horizon,mae,rmse
TimesFM,2.5,google/timesfm-2.5-200m-pytorch,q=0.5 median,96,24,2.3030821064814817,2.97941352864176
Moirai,2.0,Salesforce/moirai-2.0-R-small,q=0.5 median,96,24,1.6551867237797495,2.7550864844052585
