model,w01_coverage_pct,w09_coverage_pct,coverage_change_percentage_points,w01_mean_interval_width,w09_mean_interval_width,interval_width_change_pct
TimesFM 2.5,95.83333333333334,75.0,-20.833333333333336,15.949596405029297,28.030282338460285,75.74289421907663
Moirai 2.0,91.66666666666666,79.16666666666666,-12.5,13.349849541982016,26.8293571472168,100.97123239363128
