model,window_id,forecast_points,q10_q90_covered_points,empirical_q10_q90_coverage,mean_interval_width,median_interval_width
TimesFM 2.5,W01,24,23,0.9583333333333334,15.949596405029297,15.921812057495115
Moirai 2.0,W01,24,22,0.9166666666666666,13.349849541982016,13.671310424804688
TimesFM 2.5,W09,24,18,0.75,28.030282338460285,30.586631774902344
Moirai 2.0,W09,24,19,0.7916666666666666,26.8293571472168,28.38283348083496
