model,window_id,forecast_points,q10_q90_covered_points,empirical_q10_q90_coverage,mean_interval_width,median_interval_width
TimesFM 2.5,W09,24,18,0.75,28.030282338460285,30.586631774902344
Moirai 2.0,W09,24,19,0.7916666666666666,26.829357147216797,28.38283348083496
