model,window_id,forecast_points,q10_q90_covered_points,empirical_q10_q90_coverage,mean_interval_width,median_interval_width
TimesFM 2.5,W01,24,23,0.9583333333333334,15.949596405029297,15.921812057495117
Moirai 2.0,W01,24,22,0.9166666666666666,13.349849541982016,13.671310424804688
