threshold_scheme,threshold_value,model,abrupt,n_steps,mae,rmse,mean_abs_actual_delta,mean_abs_predicted_delta,median_amplitude_ratio,mean_amplitude_ratio,direction_accuracy
q90,6.25,Moirai 2.0,False,221,3.10142441045225,4.439238030338497,2.182584572290455,0.17332788881262048,0.034454890659877266,0.18520697712939993,0.5091743119266054
q90,6.25,Moirai 2.0,True,19,7.538384935511282,10.082301762687777,10.627819548872182,0.4455149801153874,0.011582751151842935,0.03927691718320689,0.5263157894736842
q90,6.25,TimesFM 2.5,False,221,3.050790696738994,4.222211063702139,2.182584572290455,0.169252615503082,0.03970907344374541,0.21146706418068656,0.5
q90,6.25,TimesFM 2.5,True,19,8.270057423272128,11.422693016787987,10.627819548872182,0.25735935411955235,0.009984633501838232,0.02530584236004408,0.6842105263157895
q95,8.125,Moirai 2.0,False,230,3.139753446848825,4.471934580615819,2.3695738440303655,0.17115123424964437,0.0318277287780001,0.1785313920163671,0.5110132158590308
q95,8.125,Moirai 2.0,True,10,10.650081570943197,12.98856420269039,13.927777777777777,0.7405464172363277,0.013231809682256315,0.05947564529747791,0.5
q95,8.125,TimesFM 2.5,False,230,3.0705075086931917,4.223873453378178,2.3695738440303655,0.16823714278005888,0.03749322615606935,0.2038934644037774,0.5066079295154186
q95,8.125,TimesFM 2.5,True,10,12.513910802205405,15.2164629454738,13.927777777777777,0.36001129150390765,0.009134346261963515,0.029681457657304074,0.7
